NAME,Median_Income,state,county,Tract
"Census Tract 2510, Cook County, Illinois",36923,17,031,251000
"Census Tract 2511, Cook County, Illinois",22727,17,031,251100
"Census Tract 2512, Cook County, Illinois",51192,17,031,251200
"Census Tract 2513, Cook County, Illinois",30580,17,031,251300
"Census Tract 2514, Cook County, Illinois",18740,17,031,251400
"Census Tract 2515, Cook County, Illinois",45385,17,031,251500
"Census Tract 2516, Cook County, Illinois",30938,17,031,251600
"Census Tract 2517, Cook County, Illinois",52692,17,031,251700
"Census Tract 2518, Cook County, Illinois",25517,17,031,251800
"Census Tract 2519, Cook County, Illinois",22939,17,031,251900
"Census Tract 2520, Cook County, Illinois",25432,17,031,252000
"Census Tract 2521.01, Cook County, Illinois",19265,17,031,252101
"Census Tract 2521.02, Cook County, Illinois",35949,17,031,252102
"Census Tract 2522.01, Cook County, Illinois",36204,17,031,252201
"Census Tract 2522.02, Cook County, Illinois",32173,17,031,252202
"Census Tract 2601, Cook County, Illinois",19167,17,031,260100
"Census Tract 2602, Cook County, Illinois",36042,17,031,260200
"Census Tract 2603, Cook County, Illinois",18344,17,031,260300
"Census Tract 2604, Cook County, Illinois",-666666666,17,031,260400
"Census Tract 2605, Cook County, Illinois",39268,17,031,260500
"Census Tract 2606, Cook County, Illinois",29577,17,031,260600
"Census Tract 2607, Cook County, Illinois",27019,17,031,260700
"Census Tract 2608, Cook County, Illinois",28629,17,031,260800
"Census Tract 2609, Cook County, Illinois",17019,17,031,260900
"Census Tract 2610, Cook County, Illinois",40057,17,031,261000
"Census Tract 2705, Cook County, Illinois",17813,17,031,270500
"Census Tract 2712, Cook County, Illinois",36739,17,031,271200
"Census Tract 2713, Cook County, Illinois",24091,17,031,271300
"Census Tract 2714, Cook County, Illinois",26351,17,031,271400
"Census Tract 2715, Cook County, Illinois",31806,17,031,271500
"Census Tract 2718, Cook County, Illinois",31429,17,031,271800
"Census Tract 2801, Cook County, Illinois",124688,17,031,280100
"Census Tract 2804, Cook County, Illinois",53646,17,031,280400
"Census Tract 2808, Cook County, Illinois",17930,17,031,280800
"Census Tract 2809, Cook County, Illinois",18684,17,031,280900
"Census Tract 2819, Cook County, Illinois",109670,17,031,281900
"Census Tract 2827, Cook County, Illinois",65650,17,031,282700
"Census Tract 2508, Cook County, Illinois",47105,17,031,250800
"Census Tract 2828, Cook County, Illinois",70194,17,031,282800
"Census Tract 2831, Cook County, Illinois",29609,17,031,283100
"Census Tract 2832, Cook County, Illinois",64265,17,031,283200
"Census Tract 2838, Cook County, Illinois",87368,17,031,283800
"Census Tract 2909, Cook County, Illinois",29720,17,031,290900
"Census Tract 2912, Cook County, Illinois",28214,17,031,291200
"Census Tract 2916, Cook County, Illinois",77917,17,031,291600
"Census Tract 2922, Cook County, Illinois",35185,17,031,292200
"Census Tract 2924, Cook County, Illinois",50000,17,031,292400
"Census Tract 8222, Cook County, Illinois",86151,17,031,822200
"Census Tract 8223.01, Cook County, Illinois",77045,17,031,822301
"Census Tract 8223.02, Cook County, Illinois",57071,17,031,822302
"Census Tract 8224, Cook County, Illinois",51782,17,031,822400
"Census Tract 8225, Cook County, Illinois",83333,17,031,822500
"Census Tract 8226.01, Cook County, Illinois",85954,17,031,822601
"Census Tract 8226.02, Cook County, Illinois",78694,17,031,822602
"Census Tract 8227.01, Cook County, Illinois",56880,17,031,822701
"Census Tract 8227.02, Cook County, Illinois",65104,17,031,822702
"Census Tract 8228.01, Cook County, Illinois",67198,17,031,822801
"Census Tract 8228.02, Cook County, Illinois",66705,17,031,822802
"Census Tract 8229, Cook County, Illinois",51678,17,031,822900
"Census Tract 8230.01, Cook County, Illinois",56250,17,031,823001
"Census Tract 8230.02, Cook County, Illinois",45441,17,031,823002
"Census Tract 8231.01, Cook County, Illinois",56154,17,031,823101
"Census Tract 8231.02, Cook County, Illinois",62467,17,031,823102
"Census Tract 8232, Cook County, Illinois",66250,17,031,823200
"Census Tract 8233.02, Cook County, Illinois",46955,17,031,823302
"Census Tract 8233.03, Cook County, Illinois",69514,17,031,823303
"Census Tract 8233.04, Cook County, Illinois",52352,17,031,823304
"Census Tract 8234, Cook County, Illinois",49076,17,031,823400
"Census Tract 8235, Cook County, Illinois",64804,17,031,823500
